"Affiliate account must be existed.","Affiliate account must be existed."
"Transaction amount cannot be zero.","Transaction amount cannot be zero."
"Account balance has been reached the limit. Please contact to store owner.","Account balance has been reached the limit. Please contact to store owner."
"Invalid transaction data for canceling.","Invalid transaction data for canceling."
"Account balance is not enough for canceling.","Account balance is not enough for canceling."
"Total paid cannot be negative.","Total paid cannot be negative."
"Maximum amount allowed in account balance is %1.","Maximum amount allowed in account balance is %1."
"Action model is invalid for %1","Action model is invalid for %1"
"Changed by Admin","Changed by Admin"
"Get commission for order %1","Get commission for order %1"
"Taken back commission for refunding order %1","Taken back commission for refunding order %1"
"Subtract balance for withdraw request","Subtract balance for withdraw request"
"On Hold","On Hold"
Completed,Completed
Cancelled,Cancelled
Admin,Admin
"The amount request is not enough to pay for fee.","The amount request is not enough to pay for fee."
"The amount request is not enough to withdraw","The amount request is not enough to withdraw"
"Cannot create transaction for this withdraw.","Cannot create transaction for this withdraw."
"Invalid withdraw data for canceling.","Invalid withdraw data for canceling."
"Some the withdraw had cancelled.","Some the withdraw had cancelled."
"Invalid withdraw data for approved.","Invalid withdraw data for approved."
Pending,Pending
"Affiliate Welcome homepage content","Affiliate Welcome homepage content"
"Affiliate referfriend description","Affiliate referfriend description"
"Affiliate terms & conditions","Affiliate terms & conditions"
"Affiliate Policy Content","Affiliate Policy Content"
"Delete ""%1""","Delete ""%1"""
"Are you sure?","Are you sure?"
"Type (1st Order)","Type (1st Order)"
"Value (1st Order)","Value (1st Order)"
"Type (Next orders)","Type (Next orders)"
"Value (Next orders)","Value (Next orders)"
No,No
Yes,Yes
"Referral Url and Code","Referral Url and Code"
"The commission rate for you and discount policy for those you choose to refer will correspond with any available affiliate campaign","The commission rate for you and discount policy for those you choose to refer will correspond with any available affiliate campaign"
"Create Referal Link","Create Referal Link"
"Refer Code","Refer Code"
"An auto-generated suffix code for each person you send the referral link to, or you can create a unique one on your own ","An auto-generated suffix code for each person you send the referral link to, or you can create a unique one on your own "
Edit,Edit
"Refer Url","Refer Url"
"Referrals that access this URL are connected as referrals once they sign up or place an order.","Referrals that access this URL are connected as referrals once they sign up or place an order."
"Refer Email","Refer Email"
"Referrals can enter your e-mail address when signing up affiliate account.","Referrals can enter your e-mail address when signing up affiliate account."
"Referral Via Social Networks","Referral Via Social Networks"
"Send Invitation","Send Invitation"
Subject,Subject
"Your friends' emails","Your friends' emails"
"Add from Address Book","Add from Address Book"
"Your message","Your message"
"Short Message","Short Message"
"Just your message, no need to put Refer Url here.","Just your message, no need to put Refer Url here."
Send,Send
Campaign,Campaign
"Coupon Code","Coupon Code"
"Valid time","Valid time"
"Copy Referral Link","Copy Referral Link"
"Copy ReferalLink","Copy ReferalLink"
"No results found!","No results found!"
"Get ReferalLink","Get ReferalLink"
"Get Referral Link","Get Referral Link"
Back,Back
"Commission Logs","Commission Logs"
Time,Time
"Customer Ordered","Customer Ordered"
Product,Product
"Total sales","Total sales"
"No withdraw found!","No withdraw found!"
"Withdraw History","Withdraw History"
"Requested Date","Requested Date"
"Withdraw Method","Withdraw Method"
Request,Request
"Requested Amount","Requested Amount"
"Net. Amount","Net. Amount"
"Resolve Date","Resolve Date"
"Are you sure you want to cancel this withdraw?","Are you sure you want to cancel this withdraw?"
"Credit Information","Credit Information"
"Available Balance","Available Balance"
"Total Commission","Total Commission"
"Total Withdrawal","Total Withdrawal"
"Created Date","Created Date"
"No transaction found!","No transaction found!"
"Affiliate Information","Affiliate Information"
"Enter your Customer email or Affiliate code here","Enter your Customer email or Affiliate code here"
"Create an Account","Create an Account"
"Affiliate Subscriptions","Affiliate Subscriptions"
"Receive Withdraw Completed email","Receive Withdraw Completed email"
"Receive Withdraw Cancel email","Receive Withdraw Cancel email"
"Receive Update Balance email","Receive Update Balance email"
"Receive update balance email","Receive update balance email"
"Receive New Campaign email","Receive New Campaign email"
"Receive Expired Campaign email","Receive Expired Campaign email"
"Request Withdraw","Request Withdraw"
"Request Amount","Request Amount"
"Select Payment Method","Select Payment Method"
"Withdraw Policy","Withdraw Policy"
"Send Request","Send Request"
"Bank account number, Bank name.","Bank account number, Bank name."
"Paypal Email Associate","Paypal Email Associate"
"Paypal Email Address","Paypal Email Address"
"Affiliate Referral Information","Affiliate Referral Information"
"Your Affiliate account was referred by an affiliate account %1 <%2> - Referral code: %3","Your Affiliate account was referred by an affiliate account %1 <%2> - Referral code: %3"
Comission,Comission
"Valid Time","Valid Time"
"Affiliate account approved","Affiliate account approved"
"%name,","%name,"
"Welcome to our Affiliate program.","Welcome to our Affiliate program."
"We're happily to inform that your Affiliate account is approved successfully.","We're happily to inform that your Affiliate account is approved successfully."
"Along with us, let's set off a new journey to learn new insights within Affiliate program's outstanding
    features.","Along with us, let's set off a new journey to learn new insights within Affiliate program's outstanding
    features."
"Thank you again, %store_name","Thank you again, %store_name"
"Affiliate Account Change Status","Affiliate Account Change Status"
"Thank you for your attention. From now on, your account is %status.","Thank you for your attention. From now on, your account is %status."
"Affiliate Account Rejection","Affiliate Account Rejection"
"Thank you for your interest in our Affiliate program. However, we regret that your account is rejected.","Thank you for your interest in our Affiliate program. However, we regret that your account is rejected."
"If you click on my link below, you can even receive a special discount! Check it out: <a href=""%refer_url"">here</a>","If you click on my link below, you can even receive a special discount! Check it out: <a href=""%refer_url"">here</a>"
"Welcome to our affiliate program","Welcome to our affiliate program"
"Affiliate is the perfect and interesting Magento extension and be seemed to be the business model, where you
    have the role as collaborators. You can recommend other customers to seller's products, and then make a big shopping
    public for yourself. This is earning methods on internet although you don't need any product or private
    website.","Affiliate is the perfect and interesting Magento extension and be seemed to be the business model, where you
    have the role as collaborators. You can recommend other customers to seller's products, and then make a big shopping
    public for yourself. This is earning methods on internet although you don't need any product or private
    website."
"When using our affiliate program, you can use basics features in the following:","When using our affiliate program, you can use basics features in the following:"
"Earning commission","Earning commission"
"Coming to Affiliate, simply, you will choose any product from seller's website, and seed link of the
        product to people needing it. If the presentee buy the item, you will get percentage per order.","Coming to Affiliate, simply, you will choose any product from seller's website, and seed link of the
        product to people needing it. If the presentee buy the item, you will get percentage per order."
"Using available template","Using available template"
"In addition,you are supplied templates such as email, newsletters, etc. by seller's website.
        You will send invitations to your target customers by these templates, which makes you build the network easily
        and perfectly.","In addition,you are supplied templates such as email, newsletters, etc. by seller's website.
        You will send invitations to your target customers by these templates, which makes you build the network easily
        and perfectly."
"Tracking history activities","Tracking history activities"
"Affiliate supports you to manage the process of sending invitation, recipient's name, their profit,
        etc. Therefore, you can follow your work detailedly by themselves.","Affiliate supports you to manage the process of sending invitation, recipient's name, their profit,
        etc. Therefore, you can follow your work detailedly by themselves."
"Giving cash when achieving the target","Giving cash when achieving the target"
"Affiliate give interesting chances to earning money while you don't need any products or services, you
        only advertise the product of seller's website by available advertising methods. Until their revenue they earn
        reach the offered rates, they will withdraw money from their accounts.","Affiliate give interesting chances to earning money while you don't need any products or services, you
        only advertise the product of seller's website by available advertising methods. Until their revenue they earn
        reach the offered rates, they will withdraw money from their accounts."
"Let come to Affiliate program to experience attractive opportunities!","Let come to Affiliate program to experience attractive opportunities!"
"In case your account hasn't been approved and you cannot access Affiliate's pages, with please wait for the
    permission from store administrators.","In case your account hasn't been approved and you cannot access Affiliate's pages, with please wait for the
    permission from store administrators."
"Affiliate Sign Up","Affiliate Sign Up"
"%name  registers to become an affiliate with the %email email.","%name  registers to become an affiliate with the %email email."
"Withdraw Request","Withdraw Request"
"The Affiliate %name with the account %email requests a withdrawal.","The Affiliate %name with the account %email requests a withdrawal."
"Expired Campaign Email","Expired Campaign Email"
"Campaign %campaign_name has expired. There are many campaigns of our store waiting for you to participate.
    Please join the campaign and introduce it to your friends to receive more commissions and various discounts from our
    store. For more detailed information about the campaigns please see <a href=""%home_affiliate_link"">here</a>.","Campaign %campaign_name has expired. There are many campaigns of our store waiting for you to participate.
    Please join the campaign and introduce it to your friends to receive more commissions and various discounts from our
    store. For more detailed information about the campaigns please see <a href=""%home_affiliate_link"">here</a>."
"Thank you again","Thank you again"
"New Campaign Email","New Campaign Email"
"We want to inform you that our store is having a new campaign called %campaign_name. Find out and join this campaign to receive various commissions and discounts from the store.","We want to inform you that our store is having a new campaign called %campaign_name. Find out and join this campaign to receive various commissions and discounts from the store."
"Campaign details","Campaign details"
"Campaign Name : ","Campaign Name : "
" %campaign_name"," %campaign_name"
"Description: ","Description: "
" %description"," %description"
"Commission: ","Commission: "
%commissions,%commissions
"Discount policy: ","Discount policy: "
" %discount_policy"," %discount_policy"
"Valid Date: ","Valid Date: "
" %valid_date"," %valid_date"
"You can see detailed campaign information <a href=""%home_affiliate_link"">here</a>.","You can see detailed campaign information <a href=""%home_affiliate_link"">here</a>."
"Your balance has been updated!","Your balance has been updated!"
"We have updated the balance for you so that you can have relevant information of your commission or paid. This email help you control your activities actively.","We have updated the balance for you so that you can have relevant information of your commission or paid. This email help you control your activities actively."
"The transaction detail","The transaction detail"
"Transaction title: %title","Transaction title: %title"
"Transaction amount: %amount","Transaction amount: %amount"
"Transaction status: %status","Transaction status: %status"
"Current balance: %balance","Current balance: %balance"
"Withdraw Cancel","Withdraw Cancel"
"Your withdrawal request is called off","Your withdrawal request is called off"
"Withdraw request complete!","Withdraw request complete!"
"We would like to inform you that your withdraw request,which was created at %request_at has been completed. You will receive money after some days depending on the payment method which you choose.","We would like to inform you that your withdraw request,which was created at %request_at has been completed. You will receive money after some days depending on the payment method which you choose."
"The withdraw detail","The withdraw detail"
"Withdraw Id: %withdraw_id","Withdraw Id: %withdraw_id"
"Transfer Amount: %amount","Transfer Amount: %amount"
"Request Amount: %amount","Request Amount: %amount"
"Tax/fee: %fee","Tax/fee: %fee"
"Payment Method: %payment","Payment Method: %payment"
"You can check your withdraw by ","You can check your withdraw by "
"logging into your account","logging into your account"
"Apply Affiliate Discount Code","Apply Affiliate Discount Code"
"Apply Discount","Apply Discount"
"Cancel coupon","Cancel coupon"
"Apply Affiliate Coupon Code","Apply Affiliate Coupon Code"
"Enter discount code","Enter discount code"
"Select Customer","Select Customer"
"Please enter a param not including the dot or hash symbol.","Please enter a param not including the dot or hash symbol."
Close,Close
"Your affiliate coupon was successfully applied.","Your affiliate coupon was successfully applied."
"Your affiliate coupon was successfully removed.","Your affiliate coupon was successfully removed."
Affiliate,Affiliate
General,General
Enable,Enable
"Advance Configuration","Advance Configuration"
"Cookie Expiration","Cookie Expiration"
"day(s). The number of days for admin to store cookies of this program. Default: 365","day(s). The number of days for admin to store cookies of this program. Default: 365"
"Allow overriding cookies","Allow overriding cookies"
"Allow overriding exist affiliate cookie.","Allow overriding exist affiliate cookie."
"Show Affiliate link on","Show Affiliate link on"
"Enable Referral History","Enable Referral History"
"If Yes, will display Referral History on the My Affiliate page.","If Yes, will display Referral History on the My Affiliate page."
"Enable Affiliate Referral Information","Enable Affiliate Referral Information"
"If Yes, will display the Affiliate Referral Information on the My Account page.","If Yes, will display the Affiliate Referral Information on the My Account page."
"Default page","Default page"
"Affiliate homepage content","Affiliate homepage content"
"Select CMS Static Block. Only display the ""My Affiliates"" page for guests","Select CMS Static Block. Only display the ""My Affiliates"" page for guests"
"Affiliate Policy content","Affiliate Policy content"
"Select CMS Static Block. Only display the ""My Affiliates"" page for affiliate accounts","Select CMS Static Block. Only display the ""My Affiliates"" page for affiliate accounts"
"Allow using Affiliate Code as Coupon","Allow using Affiliate Code as Coupon"
"If yes, customer(s) can use Affiliate Code as Coupon code on shopping cart page and checkout page","If yes, customer(s) can use Affiliate Code as Coupon code on shopping cart page and checkout page"
"Coupon Suffix","Coupon Suffix"
"Affiliate URL","Affiliate URL"
"URL Style","URL Style"
"E.g: <br />Parameter: http://example.com/?<strong>c=123</strong><br />Hash: http://example.com<strong>#c123</strong>","E.g: <br />Parameter: http://example.com/?<strong>c=123</strong><br />Hash: http://example.com<strong>#c123</strong>"
"Custom parameter","Custom parameter"
"If empty. Default value is ""u"" will be used. This will be used in URL such as: ?<span style=""font-weight:bold;color:red;"">u</span>=123 <br />Or #<span style=""font-weight:bold;color:red;"">u</span>123","If empty. Default value is ""u"" will be used. This will be used in URL such as: ?<span style=""font-weight:bold;color:red;"">u</span>=123 <br />Or #<span style=""font-weight:bold;color:red;"">u</span>123"
"Parameter value","Parameter value"
"The length of Affiliate code","The length of Affiliate code"
"It should be greater than 3, and smaller than 32. Default is 6.","It should be greater than 3, and smaller than 32. Default is 6."
"Account Configuration","Account Configuration"
"Affiliate Sign up","Affiliate Sign up"
"Default Affiliate Group","Default Affiliate Group"
"Require admin's approval","Require admin's approval"
"Checked ""Email notification"" by default","Checked ""Email notification"" by default"
"Term and condition","Term and condition"
"Enable Terms and Conditions","Enable Terms and Conditions"
"Checkbox Text","Checkbox Text"
"Terms and Conditions Title","Terms and Conditions Title"
"Terms and Conditions Content","Terms and Conditions Content"
